Store,Date,Temperature,Fuel_Price,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,CPI,Unemployment,IsHoliday
1,05/02/2010,42.31,2.572,,,,,,211.0963582,8.106,False
1,12/02/2010,38.51,2.548,,,,,,211.2421698,8.106,True
1,19/02/2010,39.93,2.514,,,,,,211.2891429,8.106,False
1,26/02/2010,46.63,2.561,,,,,,211.3196429,8.106,False
1,05/03/2010,46.5,2.625,,,,,,211.3501429,8.106,False
1,12/03/2010,57.79,2.667,,,,,,211.3806429,8.106,False
1,19/03/2010,54.58,2.72,,,,,,211.215635,8.106,False
1,26/03/2010,51.45,2.732,,,,,,211.0180424,8.106,False
1,02/04/2010,62.27,2.719,,,,,,210.8204499,7.808,False
1,09/04/2010,65.86,2.77,,,,,,210.6228574,7.808,False
1,16/04/2010,66.32,2.808,,,,,,210.4887,7.808,False
1,23/04/2010,64.84,2.795,,,,,,210.4391228,7.808,False
1,30/04/2010,67.41,2.78,,,,,,210.3895456,7.808,False
1,07/05/2010,72.55,2.835,,,,,,210.3399684,7.808,False
1,14/05/2010,74.78,2.854,,,,,,210.3374261,7.808,False
1,21/05/2010,76.44,2.826,,,,,,210.6170934,7.808,False
1,28/05/2010,80.44,2.759,,,,,,210.8967606,7.808,False
1,04/06/2010,80.69,2.705,,,,,,211.1764278,7.808,False
1,11/06/2010,80.43,2.668,,,,,,211.4560951,7.808,False
1,18/06/2010,84.11,2.637,,,,,,211.4537719,7.808,False
1,25/06/2010,84.34,2.653,,,,,,211.3386526,7.808,False
1,02/07/2010,80.91,2.669,,,,,,211.2235333,7.787,False
1,09/07/2010,80.48,2.642,,,,,,211.108414,7.787,False
1,16/07/2010,83.15,2.623,,,,,,211.1003854,7.787,False
1,23/07/2010,83.36,2.608,,,,,,211.2351443,7.787,False
1,30/07/2010,81.84,2.64,,,,,,211.3699032,7.787,False
1,06/08/2010,87.16,2.627,,,,,,211.5046621,7.787,False
1,13/08/2010,87.0,2.692,,,,,,211.6394211,7.787,False
1,20/08/2010,86.65,2.664,,,,,,211.6033633,7.787,False
1,27/08/2010,85.22,2.619,,,,,,211.5673056,7.787,False
1,03/09/2010,81.21,2.577,,,,,,211.5312479,7.787,False
1,10/09/2010,78.69,2.565,,,,,,211.4951902,7.787,True
1,17/09/2010,82.11,2.582,,,,,,211.5224596,7.787,False
1,24/09/2010,80.94,2.624,,,,,,211.5972246,7.787,False
1,01/10/2010,71.89,2.603,,,,,,211.6719895,7.838,False
1,08/10/2010,63.93,2.633,,,,,,211.7467544,7.838,False
1,15/10/2010,67.18,2.72,,,,,,211.8137436,7.838,False
1,22/10/2010,69.86,2.725,,,,,,211.8612937,7.838,False
1,29/10/2010,69.64,2.716,,,,,,211.9088438,7.838,False
1,05/11/2010,58.74,2.689,,,,,,211.9563939,7.838,False
1,12/11/2010,59.61,2.728,,,,,,212.003944,7.838,False
1,19/11/2010,51.41,2.771,,,,,,211.8896737,7.838,False
1,26/11/2010,64.52,2.735,,,,,,211.7484333,7.838,True
1,03/12/2010,49.27,2.708,,,,,,211.607193,7.838,False
1,10/12/2010,46.33,2.843,,,,,,211.4659526,7.838,False
1,17/12/2010,49.84,2.869,,,,,,211.4053124,7.838,False
1,24/12/2010,52.33,2.886,,,,,,211.4051222,7.838,False
1,31/12/2010,48.43,2.943,,,,,,211.4049321,7.838,True
1,07/01/2011,48.27,2.976,,,,,,211.4047419,7.742,False
1,14/01/2011,35.4,2.983,,,,,,211.4574109,7.742,False
1,21/01/2011,44.04,3.016,,,,,,211.8272343,7.742,False
1,28/01/2011,43.83,3.01,,,,,,212.1970577,7.742,False
1,04/02/2011,42.27,2.989,,,,,,212.5668812,7.742,False
1,11/02/2011,36.39,3.022,,,,,,212.9367046,7.742,True
1,18/02/2011,57.36,3.045,,,,,,213.2478853,7.742,False
1,25/02/2011,62.9,3.065,,,,,,213.535609,7.742,False
1,04/03/2011,59.58,3.288,,,,,,213.8233327,7.742,False
1,11/03/2011,53.56,3.459,,,,,,214.1110564,7.742,False
1,18/03/2011,62.76,3.488,,,,,,214.3627114,7.742,False
1,25/03/2011,69.97,3.473,,,,,,214.5999389,7.742,False
1,01/04/2011,59.17,3.524,,,,,,214.8371664,7.682,False
1,08/04/2011,67.84,3.622,,,,,,215.0743939,7.682,False
1,15/04/2011,71.27,3.743,,,,,,215.2918561,7.682,False
1,22/04/2011,72.99,3.807,,,,,,215.4599053,7.682,False
1,29/04/2011,72.03,3.81,,,,,,215.6279544,7.682,False
1,06/05/2011,64.61,3.906,,,,,,215.7960035,7.682,False
1,13/05/2011,75.64,3.899,,,,,,215.9640526,7.682,False
1,20/05/2011,67.63,3.907,,,,,,215.7339202,7.682,False
1,27/05/2011,77.72,3.786,,,,,,215.5037878,7.682,False
1,03/06/2011,83.0,3.699,,,,,,215.2736553,7.682,False
